provider_name,provider_type,state,description,email,contact_number,address,website,payment_method,payment_details
Albury City Council,LGA,NSW,Order the Rates Certificate S.603 (A) includes water average from Albury City Council.,info@alburycity.nsw.gov.au,02 6023 8111,Albury City,https://www.alburycity.nsw.gov.au,,
Albury Wodonga Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Albury Wodonga Real Estate for a Victorian property.,,,,,,
Alekoz Lawyers,BodyCorp,VIC,Order the Owners Corporation Certificate from Alekoz Lawyers for a Victorian property.,,,,,,
Alexander Robertson,BodyCorp,VIC,Order the Owners Corporation Certificate from Alexander Robertson for a Victorian property.,,,,,,
Aligned Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Aligned Owners Corporation for a Victorian property.,,,,,,
Aligned Property Group Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Aligned Property Group Pty Ltd for a Victorian property.,,,,,,
All Coast Property,BodyCorp,VIC,Order the Owners Corporation Certificate from All Coast Property for a Victorian property.,,,,,,
All Star Owners Corporation Management,BodyCorp,VIC,Order the Owners Corporation Certificate from All Star Owners Corporation Management for a Victorian property.,,,,,,
All Stars Owners Corporation Management,BodyCorp,VIC,Order the Owners Corporation Certificate from All Stars Owners Corporation Management for a Victorian property.,,,,,,
Alliance OCM,BodyCorp,VIC,Order the Williamstown - Additional Owners Corporation Certificate from Alliance OCM for a Victorian property.,,,,,,
Alliance OCM � Paul Simmons,BodyCorp,VIC,Order the Owners Corporation Certificate from Alliance OCM � Paul Simmons for a Victorian property.,,,,,,
Alliance Owners Corporation,BodyCorp,VIC,Order the Isaac Dubinsky - Owners Corporation Certificate from Alliance Owners Corporation for a Victorian property.,,,,,,
Alliance Owners Corporation Management,BodyCorp,VIC,Order the Ashburton - Owners Corporation Certificate from Alliance Owners Corporation Management for a Victorian property.,,,,,,
Alliance Owners Corporation Management- Mark Shapiro,BodyCorp,VIC,Order the Owners Corporation Certificate from Alliance Owners Corporation Management- Mark Shapiro for a Victorian property.,,,,,,
Alliance Owners Corporation Management- Tarneit,BodyCorp,VIC,Order the Owners Corporation Certificate from Alliance Owners Corporation Management- Tarneit for a Victorian property.,,,,,,
Alliance Owners Corporation Management-Aaron Grigo,BodyCorp,VIC,Order the Owners Corporation Certificate from Alliance Owners Corporation Management-Aaron Grigo for a Victorian property.,,,,,,
Alliance Owners Corporation Management-Dean Callaghan,BodyCorp,VIC,Order the Owners Corporation Certificate from Alliance Owners Corporation Management-Dean Callaghan for a Victorian property.,,,,,,
Alma Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Alma Body Corporate for a Victorian property.,,,,,,
Almac Owners Corporation Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Almac Owners Corporation Management Pty Ltd for a Victorian property.,,,,,,
Alpha Body Corporate Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Alpha Body Corporate Management for a Victorian property.,,,,,,
Alpine Body Corporate Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Alpine Body Corporate Management Pty Ltd for a Victorian property.,,,,,,
Alpine Owners Corporation Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Alpine Owners Corporation Management Pty Ltd for a Victorian property.,,,,,,
Alpine Shire Council,LGA,VIC,Order the Council Land Information Certificate from Alpine Shire Council for a property in Alpine Shire.,info@alpineshire.vic.gov.au,03 5755 0555,Alpine Shire,https://www.alpineshire.vic.gov.au,,
Altitude Body Corporate & Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Altitude Body Corporate & Management for a Victorian property.,,,,,,
Alvi Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Alvi Owners Corporation for a Victorian property.,,,,,,
Amarz Body Corporate Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Amarz Body Corporate Services for a Victorian property.,,,,,,
Amity OC Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Amity OC Management Pty Ltd for a Victorian property.,,,,,,
AMJ Body Corporate Management,BodyCorp,VIC,Order the Malvern - Owners Corporation Certificate from AMJ Body Corporate Management for a Victorian property.,,,,,,
AMK Owners Corp,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from AMK Owners Corp for a Victorian property.,,,,,,
Amore Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Amore Real Estate for a Victorian property.,,,,,,
Anderson & Associates,BodyCorp,VIC,Order the Owners Corporation Certificate from Anderson & Associates for a Victorian property.,,,,,,
Andrew Melville Solicitor,BodyCorp,VIC,Order the Owners Corporation Certificate from Andrew Melville Solicitor for a Victorian property.,,,,,,
Andrew Tripepi Chartered Accountant,BodyCorp,VIC,Order the Owners Corporation Certificate from Andrew Tripepi Chartered Accountant for a Victorian property.,,,,,,
Andy Kala Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Andy Kala Real Estate for a Victorian property.,,,,,,
Anne Ashbridge,BodyCorp,VIC,Order the Owners Corporation Certificate from Anne Ashbridge for a Victorian property.,,,,,,
Anthony Archer & Associates,BodyCorp,VIC,Order the Owners Corporation Certificate from Anthony Archer & Associates for a Victorian property.,,,,,,
Anthony Casey Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Anthony Casey Real Estate for a Victorian property.,,,,,,
Anthony Casey Real Estate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Anthony Casey Real Estate Pty Ltd for a Victorian property.,,,,,,
Anthony Raso & Associates,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Anthony Raso & Associates for a Victorian property.,,,,,,
Antina Owners Corporation,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Antina Owners Corporation for a Victorian property.,,,,,,
ANV CORPORATION PTY LTD,BodyCorp,VIC,Order the Owners Corporation Certificate from ANV CORPORATION PTY LTD for a Victorian property.,,,,,,
APN Funds Management,BodyCorp,VIC,Order the Owners Corporation Certificate from APN Funds Management for a Victorian property.,,,,,,
Appleby Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Appleby Pty Ltd for a Victorian property.,,,,,,
Ararat Rural City Council,LGA,VIC,Order the Council Land Information Certificate from Ararat Rural City Council for a property in Ararat Rural City.,info@araratrural.vic.gov.au,,Ararat Rural City,https://www.araratrural.vic.gov.au,,
Arbee Real Estate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Arbee Real Estate Pty Ltd for a Victorian property.,,,,,,
Archer & Associates Owners Corporation Management,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Archer & Associates Owners Corporation Management for a Victorian property.,,,,,,
Ardent Owners Corporation Managers,BodyCorp,VIC,Order the Owners Corporation Certificate from Ardent Owners Corporation Managers for a Victorian property.,,,,,,
Armidale Regional Council (Armidale Dumaresq Council) City Council,LGA,NSW,Order the Drainage Diagram from Armidale Regional Council (Armidale Dumaresq Council) City Council.,council@armidale.nsw.gov.au,1300 136 833,Armidale Regional Council (Armidale Dumaresq Council),https://www.armidaleregional.nsw.gov.au,,
Arrow on Swanston,BodyCorp,VIC,Order the Owners Corporation Certificate from Arrow on Swanston for a Victorian property.,,,,,,
ASM Australian Strata Management,BodyCorp,VIC,Order the Owners Corporation Certificate from ASM Australian Strata Management for a Victorian property.,,,,,,
Aspire Management & Accounting Group Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Aspire Management & Accounting Group Pty Ltd for a Victorian property.,,,,,,
Asset Management Consulting,BodyCorp,VIC,Order the Owners Corporation Certificate from Asset Management Consulting for a Victorian property.,,,,,,
Atlas Strata Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Atlas Strata Management for a Victorian property.,,,,,,
Aumeca Owners Corporation Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Aumeca Owners Corporation Pty Ltd for a Victorian property.,,,,,,
Aus Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Aus Body Corporate for a Victorian property.,,,,,,
Aussie Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Aussie Body Corporate for a Victorian property.,,,,,,
Australia Strata & Owners Corporation Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Australia Strata & Owners Corporation Management for a Victorian property.,,,,,,
Australian Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Australian Body Corporate for a Victorian property.,,,,,,
Australian Owners Corporation Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Australian Owners Corporation Management for a Victorian property.,,,,,,
Australian Owners Corporation Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Australian Owners Corporation Management Pty Ltd for a Victorian property.,,,,,,
Australian Owners Corporation Property Management Pty Ltd (AOCPM Pty Ltd),BodyCorp,VIC,Order the Owners Corporation Certificate from Australian Owners Corporation Property Management Pty Ltd (AOCPM Pty Ltd) for a Victorian property.,,,,,,
Australian Property Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Australian Property Management Pty Ltd for a Victorian property.,,,,,,
Auswide Strata Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Auswide Strata Management Pty Ltd for a Victorian property.,,,,,,
Avansar Property Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Avansar Property Services for a Victorian property.,,,,,,
Avant Body Corporate Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Avant Body Corporate Services for a Victorian property.,,,,,,
Avant Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Avant Owners Corporation for a Victorian property.,,,,,,
Avant-Garde Property Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Avant-Garde Property Management Pty Ltd for a Victorian property.,,,,,,
Aveo Balwyn Manor,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Balwyn Manor for a Victorian property.,,,,,,
Aveo Bentleigh,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Bentleigh for a Victorian property.,,,,,,
Aveo Botanic Gardens,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Botanic Gardens for a Victorian property.,,,,,,
Aveo Concierge Balwyn,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Concierge Balwyn for a Victorian property.,,,,,,
Aveo Concierge Bayside,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Concierge Bayside for a Victorian property.,,,,,,
Aveo Edrington Park,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Edrington Park for a Victorian property.,,,,,,
Aveo Fountain Court Serviced Apartments,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Fountain Court Serviced Apartments for a Victorian property.,,,,,,
Aveo Group,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Group for a Victorian property.,,,,,,
Aveo Hampton Heath,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Hampton Heath for a Victorian property.,,,,,,
Aveo Kingston Green,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Kingston Green for a Victorian property.,,,,,,
Aveo Lisson Grove,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Lisson Grove for a Victorian property.,,,,,,
Aveo Live Well,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Live Well for a Victorian property.,,,,,,
Aveo Mingarra,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Mingarra for a Victorian property.,,,,,,
Aveo Mingarra Hostel,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Mingarra Hostel for a Victorian property.,,,,,,
Aveo Oak Tree Hill Serviced Apartments,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Oak Tree Hill Serviced Apartments for a Victorian property.,,,,,,
Aveo Pinetree,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Pinetree for a Victorian property.,,,,,,
Aveo Riversdale Manor,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Riversdale Manor for a Victorian property.,,,,,,
Aveo Roseville Serviced Apartments,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Roseville Serviced Apartments for a Victorian property.,,,,,,
Aveo Springthorpe,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Springthorpe for a Victorian property.,,,,,,
Aveo Sunbury,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Sunbury for a Victorian property.,,,,,,
Aveo Templestowe,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Templestowe for a Victorian property.,,,,,,
Aveo The George,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo The George for a Victorian property.,,,,,,
Aveo Veronica Gardens,BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo Veronica Gardens for a Victorian property.,,,,,,
Aveo( edrington park),BodyCorp,VIC,Order the Owners Corporation Certificate from Aveo( edrington park) for a Victorian property.,,,,,,
Avion Properties,BodyCorp,VIC,Order the Owners Corporation Certificate from Avion Properties for a Victorian property.,,,,,,
Axis Property,BodyCorp,VIC,Order the Owners Corporation Certificate from Axis Property for a Victorian property.,,,,,,
Balcolmbe Creek Close Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Balcolmbe Creek Close Body Corporate for a Victorian property.,,,,,,
Ballarat City Council,LGA,VIC,Order the Council Land Information Certificate from Ballarat City Council for a property in Ballarat City.,ballcity@ballarat.vic.gov.au,03 5320 5500,Ballarat City,https://www.ballarat.vic.gov.au,,
Ballarat Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Ballarat Real Estate for a Victorian property.,,,,,,
Ballarat Trade Centre,BodyCorp,VIC,Order the Owners Corporation Certificate from Ballarat Trade Centre for a Victorian property.,,,,,,
Ballina City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Ballina City Council.,council@ballina.nsw.gov.au,02 6686 4444,Ballina,https://www.ballina.nsw.gov.au,,
Balmoral Building OCM Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Balmoral Building OCM Pty Ltd for a Victorian property.,,,,,,
Balonne Shire Council,LGA,QLD,Order the Rates: Standard search from Balonne Shire Council.,info@balonne.qld.gov.au,,Balonne Shire,https://www.balonne.qld.gov.au,,
Balranald City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Balranald City Council.,info@balranald.nsw.gov.au,,Balranald,https://www.balranald.nsw.gov.au,,
Banana Shire Council,LGA,QLD,Order the Building records search - Standard from Banana Shire Council.,info@banana.qld.gov.au,,Banana Shire,https://www.banana.qld.gov.au,,
Banyule City Council,LGA,VIC,Order the Council Land Information Certificate from Banyule City Council for a property in Banyule City.,info@banyule.vic.gov.au,,Banyule City,https://www.banyule.vic.gov.au,,
Barcaldine Regional Council,LGA,QLD,Order the Standard Rates Search (Includes Water Meter Reading If Applicable) from Barcaldine Regional Council.,info@barcaldine.qld.gov.au,,Barcaldine Regional,https://www.barcaldine.qld.gov.au,,
Barclay Conti Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Barclay Conti Management for a Victorian property.,,,,,,
Barcoo Shire Council,LGA,QLD,Order the Town Planning Preffered Use (POA) from Barcoo Shire Council.,info@barcoo.qld.gov.au,,Barcoo Shire,https://www.barcoo.qld.gov.au,,
Barina Gardens Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Barina Gardens Management Pty Ltd for a Victorian property.,,,,,,
Barrina Gardens Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Barrina Gardens Management Pty Ltd for a Victorian property.,,,,,,
Barry Lyons Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Barry Lyons Pty Ltd for a Victorian property.,,,,,,
Barry Plant Doherty Real Estate,BodyCorp,VIC,Order the Niddrie - Owners Corporation Certificate from Barry Plant Doherty Real Estate for a Victorian property.,,,,,,
Bartrop Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Bartrop Real Estate for a Victorian property.,,,,,,
Barwon Region Water,Utility,VIC,Barwon Water — regional water corporation for Geelong and the Bellarine.,info@barwonwater.vic.gov.au,1300 656 007,Barwon Region,https://www.barwonwater.vic.gov.au,,
Bass Coast Shire Council,LGA,VIC,Order the Council Land Information Certificate - Standard Service from Bass Coast Shire Council for a property in Bass Coast Shire.,info@basscoast.vic.gov.au,,Bass Coast Shire,https://www.basscoast.vic.gov.au,,
Bathurst Regional Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Bathurst Regional Council.,council@bathurst.nsw.gov.au,02 6333 6111,Bathurst Regional,https://www.bathurst.nsw.gov.au,,
Baw Baw Shire Council,LGA,VIC,Order the Council Land Information Certificate from Baw Baw Shire Council for a property in Baw Baw Shire.,info@bawbaw.vic.gov.au,,Baw Baw Shire,https://www.bawbaw.vic.gov.au,,
Bay River Asset Management & Consulting,BodyCorp,VIC,Order the Owners Corporation Certificate from Bay River Asset Management & Consulting for a Victorian property.,,,,,,
Bayside City Council,LGA,VIC,Order the Council Land Information Certificate from Bayside City Council for a property in Bayside City.,enquiries@bayside.vic.gov.au,03 9599 4444,Bayside City; Bayside,https://www.bayside.vic.gov.au,,
Bayside Strata Management Services Pty Ltd,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Bayside Strata Management Services Pty Ltd for a Victorian property.,,,,,,
Bayview Waters Frankston Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Bayview Waters Frankston Pty Ltd for a Victorian property.,,,,,,
BBC Strata Management,BodyCorp,VIC,Order the Owners Corporation Certificate from BBC Strata Management for a Victorian property.,,,,,,
BCHQ,BodyCorp,VIC,Order the Owners Corporation Certificate from BCHQ for a Victorian property.,,,,,,
BCS Strata Management Pty Ltd,BodyCorp,VIC,Order the Hawthorn - Owners Corporation Certificate from BCS Strata Management Pty Ltd for a Victorian property.,,,,,,
BDel Body Corporation Management South East,BodyCorp,VIC,Order the Owners Corporation Certificate from BDel Body Corporation Management South East for a Victorian property.,,,,,,
Be Herd Strata,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Be Herd Strata for a Victorian property.,,,,,,
Bedford Dewar Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Bedford Dewar Real Estate for a Victorian property.,,,,,,
Bega Valley City Council,LGA,NSW,Order the Section 88G Certificate from Bega Valley City Council.,info@begavalley.nsw.gov.au,,Bega Valley,https://www.begavalley.nsw.gov.au,,
Behan Legal,BodyCorp,VIC,Order the Owners Corporation Certificate from Behan Legal for a Victorian property.,,,,,,
Bekdon Richards Estate Agents Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Bekdon Richards Estate Agents Pty Ltd for a Victorian property.,,,,,,
Bell Rock Strata Managers,BodyCorp,VIC,Order the Owners Corporation Certificate from Bell Rock Strata Managers for a Victorian property.,,,,,,
Bellarine Surfcoast Strata,BodyCorp,VIC,Order the Owners Corporation Certificate from Bellarine Surfcoast Strata for a Victorian property.,,,,,,
BELLE PROPERTY COMMERCIAL,BodyCorp,VIC,Order the Owners Corporation Certificate from BELLE PROPERTY COMMERCIAL for a Victorian property.,,,,,,
Bellingen City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Bellingen City Council.,info@bellingen.nsw.gov.au,,Bellingen,https://www.bellingen.nsw.gov.au,,
Bells Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Bells Real Estate for a Victorian property.,,,,,,
Belmarc Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Belmarc Owners Corporation for a Victorian property.,,,,,,
Belmore Owners Corporation Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Belmore Owners Corporation Services for a Victorian property.,,,,,,
Belmores Chartered Accountants,BodyCorp,VIC,Order the Owners Corporation Certificate from Belmores Chartered Accountants for a Victorian property.,,,,,,
Benalla Rural City Council,LGA,VIC,Order the Council Land Information Certificate from Benalla Rural City Council for a property in Benalla Rural City.,info@benallarural.vic.gov.au,,Benalla Rural City,https://www.benallarural.vic.gov.au,,
Benchmark Property Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Benchmark Property Management Pty Ltd for a Victorian property.,,,,,,
Bencorp OCM,BodyCorp,VIC,Order the Owners Corporation Certificate from Bencorp OCM for a Victorian property.,,,,,,
Bendigo Retirement Village,BodyCorp,VIC,Order the Owners Corporation Certificate from Bendigo Retirement Village for a Victorian property.,,,,,,
Bentleigh Management Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Bentleigh Management Services for a Victorian property.,,,,,,
Benton Court Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Benton Court Body Corporate for a Victorian property.,,,,,,
Berrigan City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Berrigan City Council.,info@berrigan.nsw.gov.au,,Berrigan,https://www.berrigan.nsw.gov.au,,
Better Living,BodyCorp,VIC,Order the Owners Corporation Certificate from Better Living for a Victorian property.,,,,,,
Better Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Better Owners Corporation for a Victorian property.,,,,,,
Betty Avenue Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Betty Avenue Body Corporate for a Victorian property.,,,,,,
Beverley Hills Darling Street Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Beverley Hills Darling Street Pty Ltd for a Victorian property.,,,,,,
Beyond Strata Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Beyond Strata Pty Ltd for a Victorian property.,,,,,,
BFG Asset Management,BodyCorp,VIC,Order the Owners Corporation Certificate from BFG Asset Management for a Victorian property.,,,,,,
BIG4 Whiters Holiday Village,BodyCorp,VIC,Order the Owners Corporation Certificate from BIG4 Whiters Holiday Village for a Victorian property.,,,,,,
Biggin & Scott,BodyCorp,VIC,Order the Owners Corporation Certificate from Biggin & Scott for a Victorian property.,,,,,,
Binks & Associates (Surrey Hills),BodyCorp,VIC,Order the Owners Corporation Certificate from Binks & Associates (Surrey Hills) for a Victorian property.,,,,,,
BJ Bennett & Co. Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from BJ Bennett & Co.,,,,,,
BJS Body Corporate Insurance Brokers Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from BJS Body Corporate Insurance Brokers Pty Ltd for a Victorian property.,,,,,,
